OID_,id,subward,ward,district,Building Diversity,Population Density,Microclimate,UNIQUE,Heat Stress,Connectivity,Integration,Built Density
250,427,Barabara ya Mwinyi,Kilakala,Temeke,0.188780582,0.643664312,0.273724557,426,0.173428217,0.306490924,0.358280124,0.425162797
251,431,Maruzuku,Mnyamani,Ilala,0.390247561,0.565727181,0.20509296,430,0.129631507,0.653836871,0.906586702,0.463230766
252,435,Mjimpya,Mnyamani,Ilala,0.168497679,0.608071691,0.312926249,434,0.110206415,0.569416114,0.515542746,0.346794293
253,437,Faru,Mnyamani,Ilala,0.703845295,0.459327652,0.100645746,436,0.070823638,0.593689418,0.666733676,0.569551984
254,438,Liwiti,Liwiti,Ilala,0.188939416,0.335815587,0.311883992,437,0.132543275,0.39324067,0.521475956,0.431433971
255,440,Shariff Shamba,Ilala,Ilala,0.268008227,0.504528677,0.308538197,439,0.133104619,0.407008447,0.785100782,0.513470013
256,441,Uwanja wa Ndege,Kipawa,Ilala,0.258117226,0.171532252,0.477454868,440,0.384796743,0.346240318,0.679912569,0.453642251
257,443,Mogo,Kipawa,Ilala,0.277392938,0.11544382,0.381876817,442,0.612595449,0.223229887,0.521203945,0.38944896
258,444,Karakata,Kipawa,Ilala,0.227018441,0.185659497,0.435600561,443,0.299444992,0.235451441,0.507742082,0.389528384
259,445,Mjimpya,Kipawa,Ilala,0.306265876,0.223640857,0.39333862,444,0.215628559,0.250288905,0.625240555,0.448816511
260,447,Misewe,Liwiti,Ilala,0.206298368,0.492181421,0.178992142,446,0.125195539,0.262043937,0.593983748,0.403643476
261,449,Mfaume,Liwiti,Ilala,0.248703166,0.234060504,0.501556826,448,0.178666566,0.449071834,0.554382782,0.435455425
262,450,Darajani,Kimanga,Ilala,0.21799821,0.382908911,0.356282892,449,0.170607543,0.452597053,0.386059709,0.41508753
263,452,Twiga,Kimanga,Ilala,0.225255686,0.280966096,0.354758128,451,0.331399015,0.331966867,0.245038994,0.372141529
264,453,Sokoine,Kimanga,Ilala,0.193247455,0.42115809,0.396193497,452,0.247442328,0.510910898,0.344975101,0.469492434
265,454,Miembeni,Vingunguti,Ilala,0.409596264,0.462899285,0.102730259,453,0.068549664,0.437999407,0.779668388,0.48731151
266,455,Tembomgwaza,Kimanga,Ilala,0.222221516,0.246270566,0.480491673,454,0.498702662,0.525616332,0.330746135,0.339858656
267,456,Kimanga,Kimanga,Ilala,0.176668558,0.279687838,0.391625694,455,0.457435808,0.546118109,0.285951845,0.384547958
268,458,Kilimani,Manzese,Ubungo,0.178355489,0.689569457,0.149828179,457,0.073371918,0.768371307,0.624031164,0.402877039
269,459,Mferejini,Manzese,Ubungo,0.252281909,0.671407963,0.265503569,458,0.093951298,0.589139629,0.825425517,0.459939468
270,461,Minazi Mirefu,Minazi Mirefu,Ilala,0.110958865,0.569247638,0.145372154,460,0.164437403,0.317202465,0.627792343,0.379549784
271,462,Tupendane,Manzese,Ubungo,0.190818125,0.638836774,0.306042823,461,0.095063496,0.790583817,0.643534796,0.381618722
272,463,Machimbo,Segerea,Ilala,0.17907351,0.256008351,0.444409199,462,0.189534699,0.410861481,0.436893845,0.40063839
273,464,Ugombolwa,Segerea,Ilala,0.266733993,0.208443403,0.633802538,463,0.279649249,0.489302727,0.28365818,0.419330281
274,466,Segerea,Segerea,Ilala,0.285298294,0.16556571,0.624510462,465,0.281879829,0.400661827,0.364754339,0.484898991
275,470,Mianzini,Kisukuru,Ilala,0.258516906,0.174490478,0.584562517,469,0.522437895,0.417528466,0.150301074,0.435959953
276,474,Msimbazi,Tabata,Ilala,0.198240184,0.514023914,0.256389109,473,0.130472152,0.544389975,0.38864172,0.401158699
277,476,Tabata Kisiwani,Tabata,Ilala,0.21065533,0.408198229,0.468358446,475,0.145580201,0.392602865,0.633671117,0.39521037
278,477,Mtambani,Tabata,Ilala,0.211839225,0.511282801,0.329143537,476,0.133906253,0.419684122,0.558888586,0.432250099
279,478,Msewe,Ubungo,Ubungo,0.246884809,0.112304591,0.728895196,477,0.68570602,0.468016468,0.58910213,0.458688137
280,479,Majengo,Vingunguti,Ilala,0.504418861,0.655395287,0.259793814,478,0.093905191,0.610954919,0.581714902,0.520826117
281,480,Chuo Kikuu,Ubungo,Ubungo,0.455086161,0.063459265,0.950114865,479,0.671003307,0.415603192,0.725260554,0.198429583
282,481,Mtakuja,Vingunguti,Ilala,0.098309224,0.650155984,0.135511499,480,0.05014293,0.766540045,0.674552635,0.357150253
283,482,Mtambani,Vingunguti,Ilala,0.395420279,0.54635319,0.115076218,481,0.039743867,0.657369292,0.603139918,0.450435607
284,483,Butiama,Vingunguti,Ilala,0.319004878,0.509148158,0.200819455,482,0.103783864,0.505873089,0.573691917,0.469420528
285,484,Kombo,Vingunguti,Ilala,0.161640616,0.657311442,0.132564343,483,0.100468158,0.676977813,0.515254521,0.371530963
286,485,Kihimbwa,Kisukuru,Ilala,0.143486248,0.210377805,0.532022205,484,0.401868043,0.374821879,0.206444526,0.332354143
287,486,Kisukuru,Kisukuru,Ilala,0.282273708,0.080134613,0.746897936,485,0.611618629,0.423916522,0.123127995,0.31135929
288,487,Luhanga,Kisukuru,Ilala,0.260408927,0.099112005,0.745526638,486,0.665699609,0.328348592,0.255934127,0.45656174
289,491,Banebane,Kisukuru,Ilala,0.24774086,0.139475217,0.699206979,490,0.660269365,0.404044828,0.204975222,0.43112798
290,496,Kisiwani,Buguruni,Ilala,0.261257877,0.508926153,0.221217728,495,0.13963808,0.592818289,0.844865868,0.391402926
